Extraction Date,Extraction Hour,Publication Date,Publication Hour,Title,Author,Location,Num Comments,Photo Author,Photo Text,Sectiom,Subsection
14-04-2019,15,13-04-2019,16,La idea de la Reconquista es “falsa” y “manipulada” según los expertos,Patricia R. Blanco,Madrid,2911,NA,NA,UN PAÍS DE BLOGS,UN PAÍS DE BLOGS
14-04-2019,15,13-04-2019,16,El Camino de Santiago como terapia de reinserción para reclusos,Elisa Lois,Pontevedra,3,NA,NA,UN PAÍS DE BLOGS,UN PAÍS DE BLOGS
14-04-2019,15,14-04-2019,17,Explota un baño portátil durante la primera noche de Coachella,NA,NA,NA,NA,NA,VÍDEOS Y FOTOS,VÍDEOS Y FOTOS
14-04-2019,15,14-04-2019,17,Las 20 mejores imágenes de la semana,NA,NA,NA,NA,NA,VÍDEOS Y FOTOS,VÍDEOS Y FOTOS
14-04-2019,15,13-04-2019,17,Los Premios Ortega reconocen el periodismo comprometido,NA,NA,NA,NA,NA,DESDE EL PAÍS,DESDE EL PAÍS
14-04-2019,15,11-04-2019,3,El comandante… ¿se queda?,Carlos Dada,NA,76,NA,NA,DESDE EL PAÍS,DESDE EL PAÍS
14-04-2019,15,13-04-2019,16,Las 50 mejores novelas en castellano del siglo XX,NA,NA,NA,NA,NA,DESDE EL PAÍS,DESDE EL PAÍS
14-04-2019,15,12-04-2019,15,Prótesis impresas asequibles y estéticas,NA,NA,NA,NA,NA,ONE,ONE
14-04-2019,15,10-04-2019,16,Tu propio coche eléctrico con tutoriales de Youtube,NA,NA,NA,NA,NA,ONE,ONE
14-04-2019,15,12-04-2019,19,La demanda contra Mockus primer paso para anular a otros congresistas de Alianza Verde,NA,NA,NA,NA,NA,Entrevista W,Entrevista W
14-04-2019,15,13-04-2019,17,Más allá de las fronteras: el éxodo venezolano de un vistazo,María Victoria Ojea,NA,7,NA,NA,TERMÓMETRO ECONÓMICO Y SOCIAL DE AMÉRICA,TERMÓMETRO ECONÓMICO Y SOCIAL DE AMÉRICA
14-04-2019,15,12-04-2019,18,The new cocaine lords of Galicia,Tomás Bárbulo,NA,3,NA,NA,EL PAÍS IN ENGLISH,EL PAÍS IN ENGLISH
14-04-2019,15,12-04-2019,19,Divide and conquer: Spanish PM’s election strategy seeks to split the right,Carlos E. Cué,Dos Hermanas,2,NA,NA,EL PAÍS IN ENGLISH,EL PAÍS IN ENGLISH
14-04-2019,15,12-04-2019,19,How an underground Stonehenge was discovered in southern Spain,Vicente G. Olaya,Madrid,2,NA,NA,EL PAÍS IN ENGLISH,EL PAÍS IN ENGLISH
14-04-2019,15,13-04-2019,18,El sustituto natural del plástico que se usaba en el siglo XIX,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,Megan Rapinoe la delantera que quiere cambiar el mundo,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,12-04-2019,15,Los 10 pueblos más bonitos de Castilla y León según los lectores de EL PAÍS,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,12-04-2019,15,Violaine Huisman: retrato descarnado de una madre,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,Sindicalismo en la era del ‘coworking’,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,Rótolo de boniato espinacas y alcachofas,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,Imanol Arias: las dos ruinas los 70 kilos y las cuatro veces que el actor casi deja ‘Cuéntame’,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,12-04-2019,15,Por qué España es el único país donde se siguen construyendo centros comerciales,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,Antes y después de ‘Juego de tronos’: así ha cambiado la vida de sus protagonistas,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,¿Alimenta igual una hamburguesa vegetal que una de carne?,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,La Buena Vida o el culto a la cocina de verdad,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,La foto de Sara Sálamo e Isco en bañador que llama la atención por este feliz detalle,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,El Madrid aspira a cobrar más de 100 millones al año de Adidas,NA,NA,NA,NA,NA,NA,Planeta Futuro
14-04-2019,15,13-04-2019,17,Oficial: Precio y fecha definitivos del Netflix de Disney,NA,NA,NA,NA,NA,NA,Planeta Futuro
11-04-2019,7,11-04-2019,5,La UE y Londres pactan el retraso del Brexit hasta el 31 de octubre,Bernardo de Miguel,Bruselas,108,Getty,Merkel y Macron este mircoles en Bruselas.,NA,
11-04-2019,7,11-04-2019,3,El papa Francisco devuelve a Roma a la voz incmoda de la Iglesia de Nicaragua,Carlos Salinas Maldonado,Mxico,11,NA,NA,NA,
11-04-2019,7,11-04-2019,5,Venezuela y la transicin: un destino incierto,Michael Penfold,NA,11,Hctor Guerrero,Un barrio de Caracas durante un apagn de luz masivo.,,
11-04-2019,7,11-04-2019,5,Elexpresidente peruano Kuczynski detenido por el caso Odebrecht,Jacqueline Fowks,Lima,20,REUTERS,Kuczynski tras su detencin este mircoles.,Destacados,
11-04-2019,7,11-04-2019,3,Esta es la primera imagen de un agujero negro,Bruno Martn,Madrid,625,NA,Primera imagen de un agujero negro.,Destacados,
11-04-2019,7,11-04-2019,0,La termoelctrica de Morelos tensa el homenaje de Lpez Obrador a Zapata,Jon Martn Cullell,Mxico,1,CUARTOSCURO,Lpez Obrador durante el acto.,Destacados,
11-04-2019,7,11-04-2019,3,La economa uruguaya se estanca atenazada por las crisis de Argentina y Brasil,Magdalena Martnez,Montevideo,4,AP,El presidente de Uruguay Tabar Vzquez.,Destacados,
11-04-2019,7,11-04-2019,3,La exprimida clase media mengua en los pases ricos,Sandro Pozzi,Nueva York,684,EFE,El secretario general de la OCDE ngel Gurra.,Destacados,
11-04-2019,7,11-04-2019,3,Hallada una nueva especie humana en Filipinas que vivi hace 67.000 aos,Nuo Domnguez,NA,146,NA,NA,Destacados,
11-04-2019,7,11-04-2019,3,Una nueva caravana migrante parte de Honduras hacia Estados Unidos,C. S. Maldonado / Agencias,Mxico,61,AP,Migrantes hondureos parten de San Pedro Sula.,Destacados,
11-04-2019,7,11-04-2019,5,El retrato ms ntimo de Fernando Botero,Santiago Torrado,Bogot,3,F. Botero,\'Pedrito a caballo\' en el Museo de Antioquia.,Destacados,
11-04-2019,7,11-04-2019,0,El vagabundo ilustrado ms famoso que no soport la presin de las redes sociales,Macarena Vidal Liy,Pekn,8,NA,Shen Wei en una imagen extrada de un vdeo.,Destacados,
